Polynomial Parametrisation of Franke's Function Using Linear Regression

Franke Parameters:
  number of data points          = 400
  minimim x value                = +0.000000e+00
  maximum x value                = +1.000000e+00
  minimum y value                = +0.000000e+00
  maximum y value                = +1.000000e+00
  standard deviation of noise    = +0.000000e+00

Regression parameters:
  polynomial degree              = 5
  number of penalty parameters   = +1.000000e+02
  minimum penalty                = +1.000000e-09
  maximum penalty                = +5.000000e-02
  number of Bootstrap iterations = 200

----------------------------------------------------------------------
Ordinary Least Squares:
  sum(std_beta^2) = +1.875895e-01
  using Bootstrap with K = 200:
    avg(MSE) = +7.107504e-03
    avg(R2)  = +9.096174e-01
    Bias     = +7.865409e-02
    Variance = +6.927865e-02

  penalty         = +4.646465e-02
  MSE             = +6.985613e-03
  R2              = +9.111674e-01
  sum(std_beta^2) = +1.843768e-01
  using Bootstrap with K = 200:
    avg(MSE) = +7.120707e-03
    avg(R2)  = +9.094495e-01
    Bias     = +7.865532e-02
    Variance = +6.947910e-02

  penalty         = +4.696970e-02
  MSE             = +6.994815e-03
  R2              = +9.110504e-01
  sum(std_beta^2) = +1.846654e-01
  using Bootstrap with K = 200:
    avg(MSE) = +7.146294e-03
    avg(R2)  = +9.091241e-01
    Bias     = +7.865558e-02
    Variance = +6.945640e-02

  penalty         = +4.747475e-02
  MSE             = +7.003891e-03
  R2              = +9.109350e-01
  sum(std_beta^2) = +1.854071e-01
  using Bootstrap with K = 200:
    avg(MSE) = +7.143816e-03
    avg(R2)  = +9.091556e-01
    Bias     = +7.865571e-02
    Variance = +6.941979e-02

  penalty         = +4.797980e-02
  MSE             = +7.012846e-03
  R2              = +9.108211e-01
  sum(std_beta^2) = +1.833891e-01
  using Bootstrap with K = 200:
    avg(MSE) = +7.164583e-03
    avg(R2)  = +9.088915e-01
    Bias     = +7.865563e-02
    Variance = +6.960669e-02

  penalty         = +4.848485e-02
  MSE             = +7.021682e-03
  R2              = +9.107087e-01
  sum(std_beta^2) = +1.865434e-01
  using Bootstrap with K = 200:
    avg(MSE) = +7.162987e-03
    avg(R2)  = +9.089118e-01
    Bias     = +7.865688e-02
    Variance = +6.950995e-02

  penalty         = +4.898990e-02
  MSE             = +7.030404e-03
  R2              = +9.105978e-01
  sum(std_beta^2) = +1.862301e-01
  using Bootstrap with K = 200:
    avg(MSE) = +7.178630e-03
    avg(R2)  = +9.087129e-01
    Bias     = +7.865890e-02
    Variance = +6.962299e-02

  penalty         = +4.949495e-02
  MSE             = +7.039013e-03
  R2              = +9.104884e-01
  sum(std_beta^2) = +1.856274e-01
  using Bootstrap with K = 200:
    avg(MSE) = +7.189160e-03
    avg(R2)  = +9.085790e-01
    Bias     = +7.865621e-02
    Variance = +6.918891e-02

  penalty         = +5.000000e-02
  MSE             = +7.047513e-03
  R2              = +9.103803e-01
  sum(std_beta^2) = +1.836905e-01
  using Bootstrap with K = 200:
    avg(MSE) = +7.190774e-03
    avg(R2)  = +9.085585e-01
    Bias     = +7.865493e-02
    Variance = +6.919046e-02

----------------------------------------------------------------------
Lasso Regression:

  penalty         = +1.000000e-09
  MSE             = +1.505784e-03
  R2              = +9.808517e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +1.625780e-03
    avg(R2)  = +9.793258e-01
    Bias     = +7.864214e-02
    Variance = +7.735059e-02

  penalty         = +5.050515e-04
  MSE             = +1.010929e-02
  R2              = +8.714451e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +1.062520e-02
    avg(R2)  = +8.648846e-01
    Bias     = +7.866671e-02
    Variance = +6.300496e-02

  penalty         = +1.010102e-03
  MSE             = +1.226216e-02
  R2              = +8.440682e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +1.284276e-02
    avg(R2)  = +8.366850e-01
    Bias     = +7.866910e-02
    Variance = +5.715784e-02

  penalty         = +1.515152e-03
  MSE             = +1.641581e-02
  R2              = +7.912483e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +1.609968e-02
    avg(R2)  = +7.952683e-01
    Bias     = +7.868711e-02
    Variance = +4.996168e-02

  penalty         = +2.020203e-03
  MSE             = +1.641581e-02
  R2              = +7.912483e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +1.648777e-02
    avg(R2)  = +7.903333e-01
    Bias     = +7.869132e-02
    Variance = +4.933122e-02

  penalty         = +2.525253e-03
  MSE             = +1.641581e-02
  R2              = +7.912483e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +1.731412e-02
    avg(R2)  = +7.798250e-01
    Bias     = +7.868225e-02
    Variance = +4.883980e-02

  penalty         = +3.030304e-03
  MSE             = +1.865587e-02
  R2              = +7.627626e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +1.975780e-02
    avg(R2)  = +7.487498e-01
    Bias     = +7.871059e-02
    Variance = +4.641246e-02

  penalty         = +3.535354e-03
  MSE             = +2.523640e-02
  R2              = +6.790812e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +2.273356e-02
    avg(R2)  = +7.109086e-01
    Bias     = +7.870852e-02
    Variance = +4.326660e-02

  penalty         = +4.040405e-03
  MSE             = +2.523640e-02
  R2              = +6.790812e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +2.468909e-02
    avg(R2)  = +6.860411e-01
    Bias     = +7.872078e-02
    Variance = +4.107206e-02

  penalty         = +4.545455e-03
  MSE             = +2.523640e-02
  R2              = +6.790812e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +2.576262e-02
    avg(R2)  = +6.723896e-01
    Bias     = +7.874719e-02
    Variance = +3.963066e-02

  penalty         = +5.050506e-03
  MSE             = +2.786599e-02
  R2              = +6.456420e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +2.799321e-02
    avg(R2)  = +6.440242e-01
    Bias     = +7.880290e-02
    Variance = +3.499493e-02

  penalty         = +5.555556e-03
  MSE             = +2.786599e-02
  R2              = +6.456420e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +2.957855e-02
    avg(R2)  = +6.238643e-01
    Bias     = +7.881152e-02
    Variance = +3.118185e-02

  penalty         = +6.060607e-03
  MSE             = +2.786599e-02
  R2              = +6.456420e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +3.005127e-02
    avg(R2)  = +6.178529e-01
    Bias     = +7.881080e-02
    Variance = +2.971117e-02

  penalty         = +6.565657e-03
  MSE             = +2.786599e-02
  R2              = +6.456420e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +3.159956e-02
    avg(R2)  = +5.981640e-01
    Bias     = +7.885458e-02
    Variance = +2.753320e-02

  penalty         = +7.070708e-03
  MSE             = +2.786599e-02
  R2              = +6.456420e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +3.273156e-02
    avg(R2)  = +5.837689e-01
    Bias     = +7.890693e-02
    Variance = +2.556515e-02

  penalty         = +7.575758e-03
  MSE             = +2.786599e-02
  R2              = +6.456420e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +3.360366e-02
    avg(R2)  = +5.726789e-01
    Bias     = +7.890896e-02
    Variance = +2.430938e-02

  penalty         = +8.080809e-03
  MSE             = +2.786599e-02
  R2              = +6.456420e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +3.445229e-02
    avg(R2)  = +5.618873e-01
    Bias     = +7.891632e-02
    Variance = +2.306387e-02

  penalty         = +8.585859e-03
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +3.550161e-02
    avg(R2)  = +5.485436e-01
    Bias     = +7.893956e-02
    Variance = +2.137337e-02

  penalty         = +9.090910e-03
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +3.625757e-02
    avg(R2)  = +5.389305e-01
    Bias     = +7.896026e-02
    Variance = +2.041601e-02

  penalty         = +9.595960e-03
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +3.773510e-02
    avg(R2)  = +5.201414e-01
    Bias     = +7.899468e-02
    Variance = +1.838309e-02

  penalty         = +1.010101e-02
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +3.787363e-02
    avg(R2)  = +5.183799e-01
    Bias     = +7.900953e-02
    Variance = +1.838692e-02

  penalty         = +1.060606e-02
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +3.877815e-02
    avg(R2)  = +5.068775e-01
    Bias     = +7.903983e-02
    Variance = +1.717957e-02

  penalty         = +1.111111e-02
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +3.977822e-02
    avg(R2)  = +4.941601e-01
    Bias     = +7.906278e-02
    Variance = +1.609133e-02

  penalty         = +1.161616e-02
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +4.037614e-02
    avg(R2)  = +4.865566e-01
    Bias     = +7.904019e-02
    Variance = +1.551652e-02

  penalty         = +1.212121e-02
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +4.046167e-02
    avg(R2)  = +4.854690e-01
    Bias     = +7.901906e-02
    Variance = +1.544411e-02

  penalty         = +1.262626e-02
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +4.083790e-02
    avg(R2)  = +4.806847e-01
    Bias     = +7.903149e-02
    Variance = +1.502305e-02

  penalty         = +1.313131e-02
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +4.125436e-02
    avg(R2)  = +4.753887e-01
    Bias     = +7.908374e-02
    Variance = +1.465043e-02

  penalty         = +1.363636e-02
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +4.167999e-02
    avg(R2)  = +4.699762e-01
    Bias     = +7.909632e-02
    Variance = +1.424262e-02

  penalty         = +1.414141e-02
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +4.173972e-02
    avg(R2)  = +4.692167e-01
    Bias     = +7.909664e-02
    Variance = +1.420791e-02

  penalty         = +1.464647e-02
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +4.174186e-02
    avg(R2)  = +4.691894e-01
    Bias     = +7.904813e-02
    Variance = +1.423841e-02

  penalty         = +1.515152e-02
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +4.241199e-02
    avg(R2)  = +4.606678e-01
    Bias     = +7.909293e-02
    Variance = +1.376002e-02

  penalty         = +1.565657e-02
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +4.224473e-02
    avg(R2)  = +4.627947e-01
    Bias     = +7.908248e-02
    Variance = +1.395780e-02

  penalty         = +1.616162e-02
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +4.271404e-02
    avg(R2)  = +4.568268e-01
    Bias     = +7.910864e-02
    Variance = +1.345739e-02

  penalty         = +1.666667e-02
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +4.335070e-02
    avg(R2)  = +4.487307e-01
    Bias     = +7.911516e-02
    Variance = +1.306612e-02

  penalty         = +1.717172e-02
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +4.341517e-02
    avg(R2)  = +4.479108e-01
    Bias     = +7.916374e-02
    Variance = +1.319800e-02

  penalty         = +1.767677e-02
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +4.486555e-02
    avg(R2)  = +4.294670e-01
    Bias     = +7.921167e-02
    Variance = +1.205878e-02

  penalty         = +1.818182e-02
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +4.490319e-02
    avg(R2)  = +4.289883e-01
    Bias     = +7.920545e-02
    Variance = +1.198611e-02

  penalty         = +1.868687e-02
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +4.592344e-02
    avg(R2)  = +4.160144e-01
    Bias     = +7.921376e-02
    Variance = +1.136738e-02

  penalty         = +1.919192e-02
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +4.642854e-02
    avg(R2)  = +4.095913e-01
    Bias     = +7.927697e-02
    Variance = +1.108638e-02

  penalty         = +1.969697e-02
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +4.732746e-02
    avg(R2)  = +3.981601e-01
    Bias     = +7.930264e-02
    Variance = +1.039533e-02

  penalty         = +2.020202e-02
  MSE             = +4.342022e-02
  R2              = +4.478466e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +4.780185e-02
    avg(R2)  = +3.921276e-01
    Bias     = +7.931664e-02
    Variance = +1.018652e-02

  penalty         = +2.070707e-02
  MSE             = +5.753539e-02
  R2              = +2.683510e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +4.998319e-02
    avg(R2)  = +3.643886e-01
    Bias     = +7.940797e-02
    Variance = +9.010451e-03

  penalty         = +2.121212e-02
  MSE             = +5.753539e-02
  R2              = +2.683510e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +5.125365e-02
    avg(R2)  = +3.482327e-01
    Bias     = +7.944854e-02
    Variance = +8.092318e-03

  penalty         = +2.171717e-02
  MSE             = +5.753539e-02
  R2              = +2.683510e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +5.194783e-02
    avg(R2)  = +3.394052e-01
    Bias     = +7.945933e-02
    Variance = +7.802907e-03

  penalty         = +2.222222e-02
  MSE             = +5.753539e-02
  R2              = +2.683510e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +5.313356e-02
    avg(R2)  = +3.243268e-01
    Bias     = +7.954081e-02
    Variance = +7.111205e-03

  penalty         = +2.272727e-02
  MSE             = +5.753539e-02
  R2              = +2.683510e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +5.313272e-02
    avg(R2)  = +3.243375e-01
    Bias     = +7.945401e-02
    Variance = +6.889134e-03

  penalty         = +2.323232e-02
  MSE             = +5.753539e-02
  R2              = +2.683510e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +5.540778e-02
    avg(R2)  = +2.954067e-01
    Bias     = +7.963468e-02
    Variance = +6.060792e-03

  penalty         = +2.373737e-02
  MSE             = +5.753539e-02
  R2              = +2.683510e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +5.672715e-02
    avg(R2)  = +2.786289e-01
    Bias     = +7.966331e-02
    Variance = +5.526473e-03

  penalty         = +2.424242e-02
  MSE             = +5.753539e-02
  R2              = +2.683510e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +5.720383e-02
    avg(R2)  = +2.725672e-01
    Bias     = +7.969435e-02
    Variance = +5.402690e-03

  penalty         = +2.474748e-02
  MSE             = +5.753539e-02
  R2              = +2.683510e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +5.775512e-02
    avg(R2)  = +2.655568e-01
    Bias     = +7.966419e-02
    Variance = +4.978783e-03

  penalty         = +2.525253e-02
  MSE             = +5.753539e-02
  R2              = +2.683510e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +6.082309e-02
    avg(R2)  = +2.265429e-01
    Bias     = +7.992395e-02
    Variance = +4.252520e-03

  penalty         = +2.575758e-02
  MSE             = +5.753539e-02
  R2              = +2.683510e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +6.088925e-02
    avg(R2)  = +2.257016e-01
    Bias     = +7.991167e-02
    Variance = +4.217391e-03

  penalty         = +2.626263e-02
  MSE             = +5.753539e-02
  R2              = +2.683510e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +6.206192e-02
    avg(R2)  = +2.107893e-01
    Bias     = +8.000413e-02
    Variance = +3.770707e-03

  penalty         = +2.676768e-02
  MSE             = +5.753539e-02
  R2              = +2.683510e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +6.401605e-02
    avg(R2)  = +1.859396e-01
    Bias     = +8.000722e-02
    Variance = +3.381452e-03

  penalty         = +2.727273e-02
  MSE             = +5.753539e-02
  R2              = +2.683510e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +6.383363e-02
    avg(R2)  = +1.882594e-01
    Bias     = +8.002957e-02
    Variance = +3.296106e-03

  penalty         = +2.777778e-02
  MSE             = +5.753539e-02
  R2              = +2.683510e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +6.667340e-02
    avg(R2)  = +1.521474e-01
    Bias     = +8.021129e-02
    Variance = +2.626988e-03

  penalty         = +2.828283e-02
  MSE             = +5.753539e-02
  R2              = +2.683510e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +6.675509e-02
    avg(R2)  = +1.511087e-01
    Bias     = +8.011299e-02
    Variance = +2.609103e-03

  penalty         = +2.878788e-02
  MSE             = +5.753539e-02
  R2              = +2.683510e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +6.781867e-02
    avg(R2)  = +1.375836e-01
    Bias     = +8.018535e-02
    Variance = +2.368750e-03

  penalty         = +2.929293e-02
  MSE             = +5.753539e-02
  R2              = +2.683510e-01
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +6.938381e-02
    avg(R2)  = +1.176804e-01
    Bias     = +8.038145e-02
    Variance = +1.987171e-03

  penalty         = +2.979798e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +7.073226e-02
    avg(R2)  = +1.005330e-01
    Bias     = +8.049504e-02
    Variance = +1.747798e-03

  penalty         = +3.030303e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +7.291187e-02
    avg(R2)  = +7.281586e-02
    Bias     = +8.054117e-02
    Variance = +1.302875e-03

  penalty         = +3.080808e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +7.286558e-02
    avg(R2)  = +7.340458e-02
    Bias     = +8.056743e-02
    Variance = +1.258011e-03

  penalty         = +3.131313e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +7.381842e-02
    avg(R2)  = +6.128778e-02
    Bias     = +8.065919e-02
    Variance = +1.165983e-03

  penalty         = +3.181818e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +7.444278e-02
    avg(R2)  = +5.334806e-02
    Bias     = +8.051435e-02
    Variance = +9.801173e-04

  penalty         = +3.232323e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +7.528428e-02
    avg(R2)  = +4.264706e-02
    Bias     = +8.048629e-02
    Variance = +7.735761e-04

  penalty         = +3.282828e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +7.527037e-02
    avg(R2)  = +4.282397e-02
    Bias     = +8.053623e-02
    Variance = +8.329753e-04

  penalty         = +3.333333e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +7.682744e-02
    avg(R2)  = +2.302357e-02
    Bias     = +8.058628e-02
    Variance = +5.563876e-04

  penalty         = +3.383838e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +7.692952e-02
    avg(R2)  = +2.172537e-02
    Bias     = +8.063278e-02
    Variance = +5.249269e-04

  penalty         = +3.434343e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +7.794786e-02
    avg(R2)  = +8.775654e-03
    Bias     = +8.071110e-02
    Variance = +3.775653e-04

  penalty         = +3.484849e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +7.941038e-02
    avg(R2)  = -9.822447e-03
    Bias     = +8.091578e-02
    Variance = +1.801555e-04

  penalty         = +3.535354e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +7.938825e-02
    avg(R2)  = -9.541051e-03
    Bias     = +8.072624e-02
    Variance = +1.683821e-04

  penalty         = +3.585859e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +7.949740e-02
    avg(R2)  = -1.092898e-02
    Bias     = +8.077088e-02
    Variance = +1.519476e-04

  penalty         = +3.636364e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +7.987984e-02
    avg(R2)  = -1.579228e-02
    Bias     = +8.088225e-02
    Variance = +1.210694e-04

  penalty         = +3.686869e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +8.007827e-02
    avg(R2)  = -1.831561e-02
    Bias     = +8.077998e-02
    Variance = +8.334841e-05

  penalty         = +3.737374e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +8.021152e-02
    avg(R2)  = -2.001018e-02
    Bias     = +8.082834e-02
    Variance = +6.804242e-05

  penalty         = +3.787879e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +8.055710e-02
    avg(R2)  = -2.440477e-02
    Bias     = +8.093838e-02
    Variance = +4.237678e-05

  penalty         = +3.838384e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +8.011506e-02
    avg(R2)  = -1.878346e-02
    Bias     = +8.079702e-02
    Variance = +6.638129e-05

  penalty         = +3.888889e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +8.133756e-02
    avg(R2)  = -3.432947e-02
    Bias     = +8.141152e-02
    Variance = +8.876360e-06

  penalty         = +3.939394e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +8.150568e-02
    avg(R2)  = -3.646739e-02
    Bias     = +8.168755e-02
    Variance = +1.734803e-05

  penalty         = +3.989899e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +8.151898e-02
    avg(R2)  = -3.663653e-02
    Bias     = +8.165528e-02
    Variance = +7.794855e-06

  penalty         = +4.040404e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +8.276285e-02
    avg(R2)  = -5.245408e-02
    Bias     = +8.283039e-02
    Variance = +7.232920e-06

  penalty         = +4.090909e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +8.175817e-02
    avg(R2)  = -3.967812e-02
    Bias     = +8.190312e-02
    Variance = +1.249270e-05

  penalty         = +4.141414e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +8.404426e-02
    avg(R2)  = -6.874925e-02
    Bias     = +8.404426e-02
    Variance = +9.937799e-34

  penalty         = +4.191919e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +8.552417e-02
    avg(R2)  = -8.756844e-02
    Bias     = +8.552417e-02
    Variance = +9.822243e-34

  penalty         = +4.242424e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
  sum(std_beta^2) = -2.256744e+00
  using Bootstrap with K = 200:
    avg(MSE) = +8.869447e-02
    avg(R2)  = -1.278837e-01
    Bias     = +8.869447e-02
    Variance = +8.705203e-34

  penalty         = +4.292929e-02
  MSE             = +8.068608e-02
  R2              = -2.604484e-02
